Route,Direction,Latitude,Longitude
1,Destination,33.6367,-84.428101
1,Origin,40.65209961,-75.44080353
3,Destination,35.2140007,-80.94309998
3,Origin,40.65209961,-75.44080353
4,Destination,42.21239853,-83.35340118
4,Origin,40.65209961,-75.44080353
5,Destination,26.072599,-80.152702
5,Origin,40.65209961,-75.44080353
6,Destination,40.19350052,-76.76339722
6,Origin,40.65209961,-75.44080353
8,Destination,41.9786,-87.9048
8,Origin,40.65209961,-75.44080353
9,Destination,26.92020035,-81.9905014
9,Origin,40.65209961,-75.44080353
11,Destination,27.91020012,-82.68740082
11,Origin,40.65209961,-75.44080353
13,Destination,28.77759933,-81.23750305
13,Origin,40.65209961,-75.44080353
14,Destination,32.896801,-97.038002
14,Origin,32.41130066,-99.68190002
15,Destination,33.6367,-84.428101
15,Origin,35.040199,-106.609001
16,Destination,30.19449997,-97.66989899
16,Origin,35.040199,-106.609001
17,Destination,39.1754,-76.668297
17,Origin,35.040199,-106.609001
18,Destination,32.847099,-96.851799
18,Origin,35.040199,-106.609001
19,Destination,39.86169815,-104.6729965
19,Origin,35.040199,-106.609001
20,Destination,32.896801,-97.038002
20,Origin,35.040199,-106.609001
21,Destination,29.64539909,-95.27890015
21,Origin,35.040199,-106.609001
22,Destination,29.9843998,-95.34140015
22,Origin,35.040199,-106.609001
23,Destination,40.63980103,-73.77890015
23,Origin,35.040199,-106.609001
24,Destination,36.08010101,-115.1520004
24,Origin,35.040199,-106.609001
25,Destination,33.94250107,-118.4079971
25,Origin,35.040199,-106.609001
26,Destination,39.2976,-94.713898
26,Origin,35.040199,-106.609001
28,Destination,41.785999,-87.752403
28,Origin,35.040199,-106.609001
30,Destination,37.721298,-122.221001
30,Origin,35.040199,-106.609001
31,Destination,41.9786,-87.9048
31,Origin,35.040199,-106.609001
33,Destination,33.43429947,-112.012001
33,Origin,35.040199,-106.609001
34,Destination,32.73360062,-117.1900024
34,Origin,35.040199,-106.609001
36,Destination,47.449001,-122.308998
36,Origin,35.040199,-106.609001
37,Destination,37.61899948,-122.375
37,Origin,35.040199,-106.609001
39,Destination,40.78839874,-111.9779968
39,Origin,35.040199,-106.609001
41,Destination,44.882,-93.221802
41,Origin,45.44910049,-98.42179871
42,Destination,33.6367,-84.428101
42,Origin,31.53549957,-84.19450378
49,Destination,32.896801,-97.038002
49,Origin,31.61129951,-97.23049927
52,Destination,37.61899948,-122.375
52,Origin,40.978101,-124.109
54,Destination,26.072599,-80.152702
54,Origin,39.45759964,-74.57720184
55,Destination,28.42939949,-81.30899811
55,Origin,39.45759964,-74.57720184
57,Destination,33.67969894,-78.92829895
57,Origin,39.45759964,-74.57720184
58,Destination,26.68320084,-80.09559631
58,Origin,39.45759964,-74.57720184
59,Destination,26.53619957,-81.75520325
59,Origin,39.45759964,-74.57720184
60,Destination,27.97550011,-82.53320313
60,Origin,39.45759964,-74.57720184
61,Destination,61.17440033,-149.9960022
61,Origin,51.87799835,-176.6459961
62,Destination,61.17440033,-149.9960022
62,Origin,57.75,-152.4940033
63,Destination,33.6367,-84.428101
63,Origin,31.32740021,-92.54979706
64,Destination,32.896801,-97.038002
64,Origin,31.32740021,-92.54979706
65,Destination,29.9843998,-95.34140015
65,Origin,31.32740021,-92.54979706
66,Destination,33.6367,-84.428101
66,Origin,33.36989975,-81.96450043
67,Destination,35.2140007,-80.94309998
67,Origin,33.36989975,-81.96450043
75,Destination,33.6367,-84.428101
75,Origin,42.74829865,-73.80169678
76,Destination,39.1754,-76.668297
76,Origin,42.74829865,-73.80169678
77,Destination,35.2140007,-80.94309998
77,Origin,42.74829865,-73.80169678
78,Destination,38.8521,-77.037697
78,Origin,42.74829865,-73.80169678
79,Destination,39.86169815,-104.6729965
79,Origin,42.74829865,-73.80169678
80,Destination,42.21239853,-83.35340118
80,Origin,42.74829865,-73.80169678
81,Destination,40.69250107,-74.16870117
81,Origin,42.74829865,-73.80169678
82,Destination,26.072599,-80.152702
82,Origin,42.74829865,-73.80169678
85,Destination,28.42939949,-81.30899811
85,Origin,42.74829865,-73.80169678
86,Destination,41.785999,-87.752403
86,Origin,42.74829865,-73.80169678
87,Destination,44.882,-93.221802
87,Origin,42.74829865,-73.80169678
89,Destination,41.9786,-87.9048
89,Origin,42.74829865,-73.80169678
91,Destination,39.87189865,-75.2410965
91,Origin,42.74829865,-73.80169678
