Route,Origin.Latitude,Origin.Longitude,Dest.Latitude,Dest.Longitude,Direction 1,Direction 2
1,40.65209961,-75.44080353,33.6367,-84.428101,Origin,Destination
2,40.65209961,-75.44080353,36.12450027,-86.67819977,Origin,Destination
3,40.65209961,-75.44080353,35.2140007,-80.94309998,Origin,Destination
4,40.65209961,-75.44080353,42.21239853,-83.35340118,Origin,Destination
5,40.65209961,-75.44080353,26.072599,-80.152702,Origin,Destination
6,40.65209961,-75.44080353,40.19350052,-76.76339722,Origin,Destination
7,40.65209961,-75.44080353,33.67969894,-78.92829895,Origin,Destination
8,40.65209961,-75.44080353,41.9786,-87.9048,Origin,Destination
9,40.65209961,-75.44080353,26.92020035,-81.9905014,Origin,Destination
10,40.65209961,-75.44080353,39.87189865,-75.2410965,Origin,Destination
11,40.65209961,-75.44080353,27.91020012,-82.68740082,Origin,Destination
12,40.65209961,-75.44080353,32.12760162,-81.20210266,Origin,Destination
13,40.65209961,-75.44080353,28.77759933,-81.23750305,Origin,Destination
14,32.41130066,-99.68190002,32.896801,-97.038002,Origin,Destination
15,35.040199,-106.609001,33.6367,-84.428101,Origin,Destination
16,35.040199,-106.609001,30.19449997,-97.66989899,Origin,Destination
17,35.040199,-106.609001,39.1754,-76.668297,Origin,Destination
18,35.040199,-106.609001,32.847099,-96.851799,Origin,Destination
19,35.040199,-106.609001,39.86169815,-104.6729965,Origin,Destination
20,35.040199,-106.609001,32.896801,-97.038002,Origin,Destination
21,35.040199,-106.609001,29.64539909,-95.27890015,Origin,Destination
22,35.040199,-106.609001,29.9843998,-95.34140015,Origin,Destination
23,35.040199,-106.609001,40.63980103,-73.77890015,Origin,Destination
24,35.040199,-106.609001,36.08010101,-115.1520004,Origin,Destination
25,35.040199,-106.609001,33.94250107,-118.4079971,Origin,Destination
26,35.040199,-106.609001,39.2976,-94.713898,Origin,Destination
27,35.040199,-106.609001,28.42939949,-81.30899811,Origin,Destination
28,35.040199,-106.609001,41.785999,-87.752403,Origin,Destination
29,35.040199,-106.609001,44.882,-93.221802,Origin,Destination
30,35.040199,-106.609001,37.721298,-122.221001,Origin,Destination
31,35.040199,-106.609001,41.9786,-87.9048,Origin,Destination
32,35.040199,-106.609001,45.58869934,-122.5979996,Origin,Destination
33,35.040199,-106.609001,33.43429947,-112.012001,Origin,Destination
34,35.040199,-106.609001,32.73360062,-117.1900024,Origin,Destination
35,35.040199,-106.609001,29.53370094,-98.46980286,Origin,Destination
36,35.040199,-106.609001,47.449001,-122.308998,Origin,Destination
37,35.040199,-106.609001,37.61899948,-122.375,Origin,Destination
38,35.040199,-106.609001,37.362598,-121.929001,Origin,Destination
39,35.040199,-106.609001,40.78839874,-111.9779968,Origin,Destination
40,35.040199,-106.609001,33.67570114,-117.8679962,Origin,Destination
41,45.44910049,-98.42179871,44.882,-93.221802,Origin,Destination
42,31.53549957,-84.19450378,33.6367,-84.428101,Origin,Destination
43,41.25310135,-70.06020355,42.36429977,-71.00520325,Origin,Destination
44,41.25310135,-70.06020355,35.2140007,-80.94309998,Origin,Destination
45,41.25310135,-70.06020355,38.8521,-77.037697,Origin,Destination
46,41.25310135,-70.06020355,41.06700134,-73.70760345,Origin,Destination
47,41.25310135,-70.06020355,40.63980103,-73.77890015,Origin,Destination
48,41.25310135,-70.06020355,40.77719879,-73.87259674,Origin,Destination
49,31.61129951,-97.23049927,32.896801,-97.038002,Origin,Destination
50,40.978101,-124.109,39.86169815,-104.6729965,Origin,Destination
51,40.978101,-124.109,33.94250107,-118.4079971,Origin,Destination
52,40.978101,-124.109,37.61899948,-122.375,Origin,Destination
53,39.45759964,-74.57720184,33.6367,-84.428101,Origin,Destination
54,39.45759964,-74.57720184,26.072599,-80.152702,Origin,Destination
55,39.45759964,-74.57720184,28.42939949,-81.30899811,Origin,Destination
56,39.45759964,-74.57720184,29.99340057,-90.25800323,Origin,Destination
57,39.45759964,-74.57720184,33.67969894,-78.92829895,Origin,Destination
58,39.45759964,-74.57720184,26.68320084,-80.09559631,Origin,Destination
59,39.45759964,-74.57720184,26.53619957,-81.75520325,Origin,Destination
60,39.45759964,-74.57720184,27.97550011,-82.53320313,Origin,Destination
61,51.87799835,-176.6459961,61.17440033,-149.9960022,Origin,Destination
62,57.75,-152.4940033,61.17440033,-149.9960022,Origin,Destination
63,31.32740021,-92.54979706,33.6367,-84.428101,Origin,Destination
64,31.32740021,-92.54979706,32.896801,-97.038002,Origin,Destination
65,31.32740021,-92.54979706,29.9843998,-95.34140015,Origin,Destination
66,33.36989975,-81.96450043,33.6367,-84.428101,Origin,Destination
67,33.36989975,-81.96450043,35.2140007,-80.94309998,Origin,Destination
68,33.36989975,-81.96450043,38.8521,-77.037697,Origin,Destination
69,33.36989975,-81.96450043,32.896801,-97.038002,Origin,Destination
70,33.36989975,-81.96450043,40.77719879,-73.87259674,Origin,Destination
71,33.36989975,-81.96450043,25.79319954,-80.29060364,Origin,Destination
72,33.36989975,-81.96450043,41.9786,-87.9048,Origin,Destination
73,33.36989975,-81.96450043,39.87189865,-75.2410965,Origin,Destination
74,58.67679977,-156.6490021,61.17440033,-149.9960022,Origin,Destination
75,42.74829865,-73.80169678,33.6367,-84.428101,Origin,Destination
76,42.74829865,-73.80169678,39.1754,-76.668297,Origin,Destination
77,42.74829865,-73.80169678,35.2140007,-80.94309998,Origin,Destination
78,42.74829865,-73.80169678,38.8521,-77.037697,Origin,Destination
79,42.74829865,-73.80169678,39.86169815,-104.6729965,Origin,Destination
80,42.74829865,-73.80169678,42.21239853,-83.35340118,Origin,Destination
81,42.74829865,-73.80169678,40.69250107,-74.16870117,Origin,Destination
82,42.74829865,-73.80169678,26.072599,-80.152702,Origin,Destination
83,42.74829865,-73.80169678,38.94449997,-77.45580292,Origin,Destination
84,42.74829865,-73.80169678,36.08010101,-115.1520004,Origin,Destination
85,42.74829865,-73.80169678,28.42939949,-81.30899811,Origin,Destination
86,42.74829865,-73.80169678,41.785999,-87.752403,Origin,Destination
87,42.74829865,-73.80169678,44.882,-93.221802,Origin,Destination
88,42.74829865,-73.80169678,33.67969894,-78.92829895,Origin,Destination
89,42.74829865,-73.80169678,41.9786,-87.9048,Origin,Destination
90,42.74829865,-73.80169678,26.92020035,-81.9905014,Origin,Destination
91,42.74829865,-73.80169678,39.87189865,-75.2410965,Origin,Destination
92,42.74829865,-73.80169678,27.91020012,-82.68740082,Origin,Destination
93,42.74829865,-73.80169678,35.87760162,-78.78749847,Origin,Destination
94,42.74829865,-73.80169678,26.53619957,-81.75520325,Origin,Destination
95,42.74829865,-73.80169678,32.12760162,-81.20210266,Origin,Destination
96,42.74829865,-73.80169678,28.77759933,-81.23750305,Origin,Destination
97,42.74829865,-73.80169678,27.97550011,-82.53320313,Origin,Destination
98,42.55709839,-92.40029907,41.9786,-87.9048,Origin,Destination
99,35.219398,-101.706001,32.847099,-96.851799,Origin,Destination
100,35.219398,-101.706001,39.86169815,-104.6729965,Origin,Destination
101,35.219398,-101.706001,32.896801,-97.038002,Origin,Destination
102,35.219398,-101.706001,29.9843998,-95.34140015,Origin,Destination
103,35.219398,-101.706001,36.08010101,-115.1520004,Origin,Destination
104,35.219398,-101.706001,33.43429947,-112.012001,Origin,Destination
105,61.17440033,-149.9960022,51.87799835,-176.6459961,Origin,Destination
106,61.17440033,-149.9960022,57.75,-152.4940033,Origin,Destination
107,61.17440033,-149.9960022,58.67679977,-156.6490021,Origin,Destination
108,61.17440033,-149.9960022,33.6367,-84.428101,Origin,Destination
109,61.17440033,-149.9960022,60.77980042,-161.8379974,Origin,Destination
110,61.17440033,-149.9960022,48.7928009,-122.538002,Origin,Destination
111,61.17440033,-149.9960022,60.4917984,-145.4779968,Origin,Destination
112,61.17440033,-149.9960022,39.86169815,-104.6729965,Origin,Destination
113,61.17440033,-149.9960022,32.896801,-97.038002,Origin,Destination
114,61.17440033,-149.9960022,59.04470062,-158.5050049,Origin,Destination
115,61.17440033,-149.9960022,40.69250107,-74.16870117,Origin,Destination
116,61.17440033,-149.9960022,64.81510162,-147.8560028,Origin,Destination
117,61.17440033,-149.9960022,21.32062,-157.924228,Origin,Destination
118,61.17440033,-149.9960022,29.9843998,-95.34140015,Origin,Destination
119,61.17440033,-149.9960022,58.35499954,-134.576004,Origin,Destination
120,61.17440033,-149.9960022,19.738783,-156.045603,Origin,Destination
121,61.17440033,-149.9960022,36.08010101,-115.1520004,Origin,Destination
122,61.17440033,-149.9960022,33.94250107,-118.4079971,Origin,Destination
123,61.17440033,-149.9960022,44.882,-93.221802,Origin,Destination
124,61.17440033,-149.9960022,20.8986,-156.429993,Origin,Destination
125,61.17440033,-149.9960022,64.5121994,-165.4450073,Origin,Destination
126,61.17440033,-149.9960022,41.9786,-87.9048,Origin,Destination
127,61.17440033,-149.9960022,66.88469696,-162.598999,Origin,Destination
128,61.17440033,-149.9960022,45.58869934,-122.5979996,Origin,Destination
129,61.17440033,-149.9960022,33.43429947,-112.012001,Origin,Destination
130,61.17440033,-149.9960022,70.19470215,-148.4649963,Origin,Destination
131,61.17440033,-149.9960022,47.449001,-122.308998,Origin,Destination
132,61.17440033,-149.9960022,37.61899948,-122.375,Origin,Destination
133,61.17440033,-149.9960022,40.78839874,-111.9779968,Origin,Destination
134,45.0780983,-83.56030273,42.21239853,-83.35340118,Origin,Destination
135,45.0780983,-83.56030273,43.53290176,-84.07959747,Origin,Destination
136,45.0780983,-83.56030273,45.57089996,-84.79669952,Origin,Destination
137,43.9919014,-76.021698,39.87189865,-75.2410965,Origin,Destination
138,39.22320175,-106.8690033,33.6367,-84.428101,Origin,Destination
139,39.22320175,-106.8690033,39.86169815,-104.6729965,Origin,Destination
140,39.22320175,-106.8690033,32.896801,-97.038002,Origin,Destination
141,39.22320175,-106.8690033,29.9843998,-95.34140015,Origin,Destination
142,39.22320175,-106.8690033,33.94250107,-118.4079971,Origin,Destination
143,39.22320175,-106.8690033,44.882,-93.221802,Origin,Destination
144,39.22320175,-106.8690033,41.9786,-87.9048,Origin,Destination
145,39.22320175,-106.8690033,33.43429947,-112.012001,Origin,Destination
146,39.22320175,-106.8690033,37.61899948,-122.375,Origin,Destination
147,39.22320175,-106.8690033,40.78839874,-111.9779968,Origin,Destination
148,33.6367,-84.428101,40.65209961,-75.44080353,Origin,Destination
149,33.6367,-84.428101,35.040199,-106.609001,Origin,Destination
150,33.6367,-84.428101,31.53549957,-84.19450378,Origin,Destination
151,33.6367,-84.428101,39.45759964,-74.57720184,Origin,Destination
152,33.6367,-84.428101,31.32740021,-92.54979706,Origin,Destination
153,33.6367,-84.428101,33.36989975,-81.96450043,Origin,Destination
154,33.6367,-84.428101,42.74829865,-73.80169678,Origin,Destination
155,33.6367,-84.428101,61.17440033,-149.9960022,Origin,Destination
156,33.6367,-84.428101,39.22320175,-106.8690033,Origin,Destination
157,33.6367,-84.428101,44.2580986,-88.51909637,Origin,Destination
158,33.6367,-84.428101,30.19449997,-97.66989899,Origin,Destination
159,33.6367,-84.428101,35.43619919,-82.54180145,Origin,Destination
160,33.6367,-84.428101,41.33850098,-75.7233963,Origin,Destination
161,33.6367,-84.428101,41.93889999,-72.68319702,Origin,Destination
162,33.6367,-84.428101,33.56290054,-86.75350189,Origin,Destination
163,33.6367,-84.428101,40.47710037,-88.91590118,Origin,Destination
164,33.6367,-84.428101,36.12450027,-86.67819977,Origin,Destination
165,33.6367,-84.428101,42.36429977,-71.00520325,Origin,Destination
166,33.6367,-84.428101,31.25880051,-81.46649933,Origin,Destination
167,33.6367,-84.428101,30.533199,-91.149597,Origin,Destination
168,33.6367,-84.428101,44.47190094,-73.15329742,Origin,Destination
169,33.6367,-84.428101,42.94049835,-78.73220062,Origin,Destination
170,33.6367,-84.428101,39.1754,-76.668297,Origin,Destination
171,33.6367,-84.428101,45.77750015,-111.1529999,Origin,Destination
172,33.6367,-84.428101,33.93880081,-81.11949921,Origin,Destination
173,33.6367,-84.428101,40.91609955,-81.44219971,Origin,Destination
174,33.6367,-84.428101,35.03530121,-85.20379639,Origin,Destination
175,33.6367,-84.428101,38.1385994,-78.45290375,Origin,Destination
176,33.6367,-84.428101,32.89860153,-80.04049683,Origin,Destination
177,33.6367,-84.428101,41.88470078,-91.71080017,Origin,Destination
178,33.6367,-84.428101,41.4117012,-81.84980011,Origin,Destination
179,33.6367,-84.428101,35.2140007,-80.94309998,Origin,Destination
180,33.6367,-84.428101,39.998001,-82.891899,Origin,Destination
181,33.6367,-84.428101,38.805801,-104.700996,Origin,Destination
182,33.6367,-84.428101,38.37310028,-81.59320068,Origin,Destination
183,33.6367,-84.428101,32.5163002,-84.93890381,Origin,Destination
184,33.6367,-84.428101,39.04880142,-84.6678009,Origin,Destination
185,33.6367,-84.428101,29.179899,-81.058098,Origin,Destination
186,33.6367,-84.428101,32.847099,-96.851799,Origin,Destination
187,33.6367,-84.428101,39.90240097,-84.2193985,Origin,Destination
188,33.6367,-84.428101,38.8521,-77.037697,Origin,Destination
189,33.6367,-84.428101,39.86169815,-104.6729965,Origin,Destination
190,33.6367,-84.428101,32.896801,-97.038002,Origin,Destination
191,33.6367,-84.428101,31.32130051,-85.44960022,Origin,Destination
192,33.6367,-84.428101,41.5340004,-93.6631012,Origin,Destination
193,33.6367,-84.428101,42.21239853,-83.35340118,Origin,Destination
194,33.6367,-84.428101,30.357106,-85.795414,Origin,Destination
195,33.6367,-84.428101,39.64260101,-106.9179993,Origin,Destination
196,33.6367,-84.428101,42.15990067,-76.89160156,Origin,Destination
197,33.6367,-84.428101,31.80719948,-106.3779984,Origin,Destination
198,33.6367,-84.428101,38.03699875,-87.53240204,Origin,Destination
199,33.6367,-84.428101,35.07300186,-77.04290009,Origin,Destination
200,33.6367,-84.428101,40.69250107,-74.16870117,Origin,Destination
201,33.6367,-84.428101,24.55610085,-81.75959778,Origin,Destination
202,33.6367,-84.428101,46.92070007,-96.81580353,Origin,Destination
203,33.6367,-84.428101,34.99119949,-78.88030243,Origin,Destination
204,33.6367,-84.428101,48.3105011,-114.2559967,Origin,Destination
205,33.6367,-84.428101,26.072599,-80.152702,Origin,Destination
206,33.6367,-84.428101,42.9654007,-83.74359894,Origin,Destination
207,33.6367,-84.428101,43.58200073,-96.74189758,Origin,Destination
208,33.6367,-84.428101,35.33660126,-94.36740112,Origin,Destination
209,33.6367,-84.428101,40.97850037,-85.19509888,Origin,Destination
210,33.6367,-84.428101,29.69009972,-82.27179718,Origin,Destination
211,33.6367,-84.428101,30.40730095,-89.07009888,Origin,Destination
212,33.6367,-84.428101,44.48509979,-88.12960052,Origin,Destination
213,33.6367,-84.428101,31.06719971,-97.8289032,Origin,Destination
214,33.6367,-84.428101,42.88079834,-85.52279663,Origin,Destination
215,33.6367,-84.428101,36.09780121,-79.93730164,Origin,Destination
216,33.6367,-84.428101,34.89569855,-82.21890259,Origin,Destination
217,33.6367,-84.428101,33.45029831,-88.59140015,Origin,Destination
218,33.6367,-84.428101,40.48120117,-107.2180023,Origin,Destination
219,33.6367,-84.428101,32.22439957,-80.69750214,Origin,Destination
220,33.6367,-84.428101,21.32062,-157.924228,Origin,Destination
221,33.6367,-84.428101,29.64539909,-95.27890015,Origin,Destination
222,33.6367,-84.428101,41.06700134,-73.70760345,Origin,Destination
223,33.6367,-84.428101,34.6371994,-86.77510071,Origin,Destination
224,33.6367,-84.428101,38.94449997,-77.45580292,Origin,Destination
225,33.6367,-84.428101,29.9843998,-95.34140015,Origin,Destination
226,33.6367,-84.428101,37.649899,-97.433098,Origin,Destination
227,33.6367,-84.428101,34.27059937,-77.90260315,Origin,Destination
228,33.6367,-84.428101,39.7173,-86.294403,Origin,Destination
229,33.6367,-84.428101,40.79520035,-73.10019684,Origin,Destination
230,33.6367,-84.428101,43.6072998,-110.737999,Origin,Destination
231,33.6367,-84.428101,32.31119919,-90.07589722,Origin,Destination
232,33.6367,-84.428101,30.49410057,-81.68789673,Origin,Destination
233,33.6367,-84.428101,40.63980103,-73.77890015,Origin,Destination
234,33.6367,-84.428101,36.08010101,-115.1520004,Origin,Destination
235,33.6367,-84.428101,33.94250107,-118.4079971,Origin,Destination
236,33.6367,-84.428101,38.03649902,-84.60590363,Origin,Destination
237,33.6367,-84.428101,30.20529938,-91.98760223,Origin,Destination
238,33.6367,-84.428101,40.77719879,-73.87259674,Origin,Destination
239,33.6367,-84.428101,34.72940063,-92.22429657,Origin,Destination
240,33.6367,-84.428101,40.85100174,-96.75920105,Origin,Destination
241,33.6367,-84.428101,39.2976,-94.713898,Origin,Destination
242,33.6367,-84.428101,28.42939949,-81.30899811,Origin,Destination
243,33.6367,-84.428101,40.19350052,-76.76339722,Origin,Destination
244,33.6367,-84.428101,41.785999,-87.752403,Origin,Destination
245,33.6367,-84.428101,35.04240036,-89.97669983,Origin,Destination
246,33.6367,-84.428101,32.30059814,-86.39399719,Origin,Destination
247,33.6367,-84.428101,42.932598,-71.435699,Origin,Destination
248,33.6367,-84.428101,25.79319954,-80.29060364,Origin,Destination
249,33.6367,-84.428101,42.94720078,-87.89659882,Origin,Destination
250,33.6367,-84.428101,28.10280037,-80.64530182,Origin,Destination
251,33.6367,-84.428101,41.44850159,-90.50749969,Origin,Destination
252,33.6367,-84.428101,32.51089859,-92.03769684,Origin,Destination
253,33.6367,-84.428101,30.69120026,-88.24279785,Origin,Destination
254,33.6367,-84.428101,43.13990021,-89.33750153,Origin,Destination
255,33.6367,-84.428101,46.91630173,-114.0910034,Origin,Destination
256,33.6367,-84.428101,44.882,-93.221802,Origin,Destination
257,33.6367,-84.428101,29.99340057,-90.25800323,Origin,Destination
258,33.6367,-84.428101,38.50979996,-107.8939972,Origin,Destination
259,33.6367,-84.428101,33.67969894,-78.92829895,Origin,Destination
260,33.6367,-84.428101,34.82920074,-77.61209869,Origin,Destination
261,33.6367,-84.428101,37.721298,-122.221001,Origin,Destination
262,33.6367,-84.428101,35.39310074,-97.60070038,Origin,Destination
263,33.6367,-84.428101,41.3032,-95.894096,Origin,Destination
264,33.6367,-84.428101,34.05599976,-117.6009979,Origin,Destination
265,33.6367,-84.428101,41.9786,-87.9048,Origin,Destination
266,33.6367,-84.428101,36.89459991,-76.20120239,Origin,Destination
267,33.6367,-84.428101,26.68320084,-80.09559631,Origin,Destination
268,33.6367,-84.428101,45.58869934,-122.5979996,Origin,Destination
269,33.6367,-84.428101,37.13190079,-76.49299622,Origin,Destination
270,33.6367,-84.428101,39.87189865,-75.2410965,Origin,Destination
271,33.6367,-84.428101,33.43429947,-112.012001,Origin,Destination
272,33.6367,-84.428101,40.66419983,-89.69329834,Origin,Destination
273,33.6367,-84.428101,40.49150085,-80.23290253,Origin,Destination
274,33.6367,-84.428101,30.47340012,-87.18659973,Origin,Destination
275,33.6367,-84.428101,33.82970047,-116.5070038,Origin,Destination
276,33.6367,-84.428101,41.732601,-71.420403,Origin,Destination
277,33.6367,-84.428101,43.64619827,-70.30930328,Origin,Destination
278,33.6367,-84.428101,44.04529953,-103.0569992,Origin,Destination
279,33.6367,-84.428101,35.87760162,-78.78749847,Origin,Destination
280,33.6367,-84.428101,37.50519943,-77.31970215,Origin,Destination
281,33.6367,-84.428101,39.49909973,-119.7679977,Origin,Destination
282,33.6367,-84.428101,37.3255,-79.975403,Origin,Destination
283,33.6367,-84.428101,43.1189003,-77.67240143,Origin,Destination
