Route,Direction,Latitude,Longitude
4,Destination,42.21239853,-83.35340118
4,Origin,40.65209961,-75.44080353
7,Destination,33.67969894,-78.92829895
7,Origin,40.65209961,-75.44080353
8,Destination,41.9786,-87.9048
8,Origin,40.65209961,-75.44080353
9,Destination,26.92020035,-81.9905014
9,Origin,40.65209961,-75.44080353
11,Destination,27.91020012,-82.68740082
11,Origin,40.65209961,-75.44080353
13,Destination,28.77759933,-81.23750305
13,Origin,40.65209961,-75.44080353
16,Destination,30.19449997,-97.66989899
16,Origin,35.040199,-106.609001
23,Destination,40.63980103,-73.77890015
23,Origin,35.040199,-106.609001
37,Destination,37.61899948,-122.375
37,Origin,35.040199,-106.609001
41,Destination,44.882,-93.221802
41,Origin,45.44910049,-98.42179871
42,Destination,33.6367,-84.428101
42,Origin,31.53549957,-84.19450378
43,Destination,42.36429977,-71.00520325
43,Origin,41.25310135,-70.06020355
45,Destination,38.8521,-77.037697
45,Origin,41.25310135,-70.06020355
51,Destination,33.94250107,-118.4079971
51,Origin,40.978101,-124.109
52,Destination,37.61899948,-122.375
52,Origin,40.978101,-124.109
56,Destination,29.99340057,-90.25800323
56,Origin,39.45759964,-74.57720184
59,Destination,26.53619957,-81.75520325
59,Origin,39.45759964,-74.57720184
63,Destination,33.6367,-84.428101
63,Origin,31.32740021,-92.54979706
64,Destination,32.896801,-97.038002
64,Origin,31.32740021,-92.54979706
66,Destination,33.6367,-84.428101
66,Origin,33.36989975,-81.96450043
67,Destination,35.2140007,-80.94309998
67,Origin,33.36989975,-81.96450043
68,Destination,38.8521,-77.037697
68,Origin,33.36989975,-81.96450043
70,Destination,40.77719879,-73.87259674
70,Origin,33.36989975,-81.96450043
71,Destination,25.79319954,-80.29060364
71,Origin,33.36989975,-81.96450043
78,Destination,38.8521,-77.037697
78,Origin,42.74829865,-73.80169678
79,Destination,39.86169815,-104.6729965
79,Origin,42.74829865,-73.80169678
82,Destination,26.072599,-80.152702
82,Origin,42.74829865,-73.80169678
83,Destination,38.94449997,-77.45580292
83,Origin,42.74829865,-73.80169678
88,Destination,33.67969894,-78.92829895
88,Origin,42.74829865,-73.80169678
89,Destination,41.9786,-87.9048
89,Origin,42.74829865,-73.80169678
90,Destination,26.92020035,-81.9905014
90,Origin,42.74829865,-73.80169678
92,Destination,27.91020012,-82.68740082
92,Origin,42.74829865,-73.80169678
93,Destination,35.87760162,-78.78749847
93,Origin,42.74829865,-73.80169678
94,Destination,26.53619957,-81.75520325
94,Origin,42.74829865,-73.80169678
95,Destination,32.12760162,-81.20210266
95,Origin,42.74829865,-73.80169678
96,Destination,28.77759933,-81.23750305
96,Origin,42.74829865,-73.80169678
98,Destination,41.9786,-87.9048
98,Origin,42.55709839,-92.40029907
101,Destination,32.896801,-97.038002
101,Origin,35.219398,-101.706001
102,Destination,29.9843998,-95.34140015
102,Origin,35.219398,-101.706001
108,Destination,33.6367,-84.428101
108,Origin,61.17440033,-149.9960022
118,Destination,29.9843998,-95.34140015
118,Origin,61.17440033,-149.9960022
134,Destination,42.21239853,-83.35340118
134,Origin,45.0780983,-83.56030273
136,Destination,45.57089996,-84.79669952
136,Origin,45.0780983,-83.56030273
137,Destination,39.87189865,-75.2410965
137,Origin,43.9919014,-76.021698
138,Destination,33.6367,-84.428101
138,Origin,39.22320175,-106.8690033
139,Destination,39.86169815,-104.6729965
139,Origin,39.22320175,-106.8690033
142,Destination,33.94250107,-118.4079971
142,Origin,39.22320175,-106.8690033
143,Destination,44.882,-93.221802
143,Origin,39.22320175,-106.8690033
147,Destination,40.78839874,-111.9779968
147,Origin,39.22320175,-106.8690033
150,Destination,31.53549957,-84.19450378
150,Origin,33.6367,-84.428101
151,Destination,39.45759964,-74.57720184
151,Origin,33.6367,-84.428101
163,Destination,40.47710037,-88.91590118
163,Origin,33.6367,-84.428101
165,Destination,42.36429977,-71.00520325
165,Origin,33.6367,-84.428101
181,Destination,38.805801,-104.700996
181,Origin,33.6367,-84.428101
194,Destination,30.357106,-85.795414
194,Origin,33.6367,-84.428101
200,Destination,40.69250107,-74.16870117
200,Origin,33.6367,-84.428101
204,Destination,48.3105011,-114.2559967
204,Origin,33.6367,-84.428101
222,Destination,41.06700134,-73.70760345
222,Origin,33.6367,-84.428101
229,Destination,40.79520035,-73.10019684
229,Origin,33.6367,-84.428101
233,Destination,40.63980103,-73.77890015
233,Origin,33.6367,-84.428101
238,Destination,40.77719879,-73.87259674
238,Origin,33.6367,-84.428101
252,Destination,32.51089859,-92.03769684
252,Origin,33.6367,-84.428101
253,Destination,30.69120026,-88.24279785
253,Origin,33.6367,-84.428101
265,Destination,41.9786,-87.9048
265,Origin,33.6367,-84.428101
289,Destination,41.70869827,-86.31729889
289,Origin,33.6367,-84.428101
308,Destination,40.27669907,-74.81349945
308,Origin,33.6367,-84.428101
318,Destination,42.21239853,-83.35340118
318,Origin,44.2580986,-88.51909637
321,Destination,41.9786,-87.9048
321,Origin,44.2580986,-88.51909637
322,Destination,26.92020035,-81.9905014
322,Origin,44.2580986,-88.51909637
323,Destination,27.91020012,-82.68740082
323,Origin,44.2580986,-88.51909637
324,Destination,28.77759933,-81.23750305
324,Origin,44.2580986,-88.51909637
325,Destination,39.86169815,-104.6729965
325,Origin,44.91400146,-97.15470123
330,Destination,42.36429977,-71.00520325
330,Origin,30.19449997,-97.66989899
333,Destination,32.89860153,-80.04049683
333,Origin,30.19449997,-97.66989899
334,Destination,41.4117012,-81.84980011
334,Origin,30.19449997,-97.66989899
336,Destination,39.998001,-82.891899
336,Origin,30.19449997,-97.66989899
337,Destination,39.04880142,-84.6678009
337,Origin,30.19449997,-97.66989899
345,Destination,40.69250107,-74.16870117
345,Origin,30.19449997,-97.66989899
351,Destination,39.7173,-86.294403
351,Origin,30.19449997,-97.66989899
352,Destination,30.49410057,-81.68789673
352,Origin,30.19449997,-97.66989899
353,Destination,40.63980103,-73.77890015
353,Origin,30.19449997,-97.66989899
357,Destination,39.813801,-82.927803
357,Origin,30.19449997,-97.66989899
369,Destination,34.05599976,-117.6009979
369,Origin,30.19449997,-97.66989899
372,Destination,39.87189865,-75.2410965
372,Origin,30.19449997,-97.66989899
375,Destination,40.49150085,-80.23290253
375,Origin,30.19449997,-97.66989899
378,Destination,35.87760162,-78.78749847
378,Origin,30.19449997,-97.66989899
381,Destination,38.1744,-85.736
381,Origin,30.19449997,-97.66989899
383,Destination,28.77759933,-81.23750305
383,Origin,30.19449997,-97.66989899
384,Destination,37.61899948,-122.375
384,Origin,30.19449997,-97.66989899
387,Destination,38.69540024,-121.5910034
387,Origin,30.19449997,-97.66989899
388,Destination,33.67570114,-117.8679962
388,Origin,30.19449997,-97.66989899
391,Destination,30.4832,-86.525398
391,Origin,30.19449997,-97.66989899
392,Destination,33.6367,-84.428101
392,Origin,35.43619919,-82.54180145
395,Destination,39.86169815,-104.6729965
395,Origin,35.43619919,-82.54180145
399,Destination,26.072599,-80.152702
399,Origin,35.43619919,-82.54180145
406,Destination,27.91020012,-82.68740082
406,Origin,35.43619919,-82.54180145
407,Destination,28.77759933,-81.23750305
407,Origin,35.43619919,-82.54180145
409,Destination,27.97550011,-82.53320313
409,Origin,35.43619919,-82.54180145
414,Destination,41.9786,-87.9048
414,Origin,41.33850098,-75.7233963
419,Destination,45.80770111,-108.5429993
419,Origin,33.30780029,-111.6549988
424,Destination,45.77750015,-111.1529999
424,Origin,33.30780029,-111.6549988
428,Destination,44.12459946,-123.211998
428,Origin,33.30780029,-111.6549988
430,Destination,48.3105011,-114.2559967
430,Origin,33.30780029,-111.6549988
437,Destination,47.48199844,-111.3710022
437,Origin,33.30780029,-111.6549988
438,Destination,37.649899,-97.433098
438,Origin,33.30780029,-111.6549988
441,Destination,36.08010101,-115.1520004
441,Origin,33.30780029,-111.6549988
449,Destination,37.721298,-122.221001
449,Origin,33.30780029,-111.6549988
456,Destination,44.04529953,-103.0569992
456,Origin,33.30780029,-111.6549988
461,Destination,37.24570084,-93.38860321
461,Origin,33.30780029,-111.6549988
464,Destination,42.21239853,-83.35340118
464,Origin,42.23490143,-85.55210114
472,Destination,38.8521,-77.037697
472,Origin,41.93889999,-72.68319702
474,Destination,32.896801,-97.038002
474,Origin,41.93889999,-72.68319702
477,Destination,26.072599,-80.152702
477,Origin,41.93889999,-72.68319702
479,Destination,29.9843998,-95.34140015
479,Origin,41.93889999,-72.68319702
482,Destination,28.42939949,-81.30899811
482,Origin,41.93889999,-72.68319702
487,Destination,41.9786,-87.9048
487,Origin,41.93889999,-72.68319702
488,Destination,26.68320084,-80.09559631
488,Origin,41.93889999,-72.68319702
493,Destination,,
493,Origin,41.93889999,-72.68319702
498,Destination,39.86169815,-104.6729965
498,Origin,35.43360138,-119.0569992
502,Destination,39.86169815,-104.6729965
502,Origin,30.62680054,-88.06809998
503,Destination,41.9786,-87.9048
503,Origin,30.62680054,-88.06809998
504,Destination,42.21239853,-83.35340118
504,Origin,42.20869827,-75.97979736
507,Destination,42.21239853,-83.35340118
507,Origin,44.80739975,-68.82810211
508,Destination,40.69250107,-74.16870117
508,Origin,44.80739975,-68.82810211
509,Destination,40.63980103,-73.77890015
509,Origin,44.80739975,-68.82810211
510,Destination,40.77719879,-73.87259674
510,Origin,44.80739975,-68.82810211
511,Destination,41.9786,-87.9048
511,Origin,44.80739975,-68.82810211
513,Destination,27.91020012,-82.68740082
513,Origin,44.80739975,-68.82810211
514,Destination,28.77759933,-81.23750305
514,Origin,44.80739975,-68.82810211
520,Destination,39.86169815,-104.6729965
520,Origin,33.56290054,-86.75350189
521,Destination,32.896801,-97.038002
521,Origin,33.56290054,-86.75350189
527,Destination,40.77719879,-73.87259674
