Route,Direction,Latitude,Longitude
113,Destination,32.896801,-97.038002
113,Origin,61.17440033,-149.9960022
417,Destination,28.77759933,-81.23750305
417,Origin,41.33850098,-75.7233963
443,Destination,35.04240036,-89.97669983
443,Origin,33.30780029,-111.6549988
534,Destination,37.61899948,-122.375
534,Origin,33.56290054,-86.75350189
735,Destination,38.1744,-85.736
735,Origin,42.36429977,-71.00520325
1267,Destination,36.08010101,-115.1520004
1267,Origin,42.908001,-106.463997
1520,Destination,40.978101,-124.109
1520,Origin,39.86169815,-104.6729965
1906,Destination,40.66419983,-89.69329834
1906,Origin,41.5340004,-93.6631012
1924,Destination,44.80739975,-68.82810211
1924,Origin,42.21239853,-83.35340118
2086,Destination,42.49100113,-76.45839691
2086,Origin,42.08312701,-80.17386675
2440,Destination,33.6367,-84.428101
2440,Origin,31.06719971,-97.8289032
2548,Destination,40.69250107,-74.16870117
2548,Origin,32.22439957,-80.69750214
2768,Destination,44.74140167,-85.5821991
2768,Origin,38.94449997,-77.45580292
2898,Destination,39.90240097,-84.2193985
2898,Origin,37.649899,-97.433098
2912,Destination,30.4832,-86.525398
2912,Origin,37.649899,-97.433098
3061,Destination,27.97550011,-82.53320313
3061,Origin,30.49410057,-81.68789673
3196,Destination,42.908001,-106.463997
3196,Origin,36.08010101,-115.1520004
3432,Destination,40.69250107,-74.16870117
3432,Origin,38.03649902,-84.60590363
3521,Destination,41.70869827,-86.31729889
3521,Origin,40.77719879,-73.87259674
3754,Destination,41.06700134,-73.70760345
3754,Origin,40.19350052,-76.76339722
4194,Destination,41.732601,-71.420403
4194,Origin,44.882,-93.221802
4284,Destination,41.9786,-87.9048
4284,Origin,38.50979996,-107.8939972
4455,Destination,36.12450027,-86.67819977
4455,Origin,41.3032,-95.894096
4640,Destination,44.68190002,-75.46549988
4640,Origin,41.9786,-87.9048
4701,Destination,41.4117012,-81.84980011
4701,Origin,36.89459991,-76.20120239
4967,Destination,36.281898,-94.306801
4967,Origin,39.87189865,-75.2410965
5141,Destination,41.26070023,-80.67910004
5141,Origin,27.91020012,-82.68740082
5206,Destination,40.69250107,-74.16870117
5206,Origin,30.47340012,-87.18659973
5319,Destination,42.37419891,-122.8730011
5319,Origin,44.2541008,-121.1500015
5440,Destination,38.94449997,-77.45580292
5440,Origin,37.3255,-79.975403
6386,Destination,26.68320084,-80.09559631
6386,Origin,41.5041008,-74.10479736
6533,Destination,35.39310074,-97.60070038
6533,Origin,36.19839859,-95.88809967
6571,Destination,40.69250107,-74.16870117
6571,Origin,44.74140167,-85.5821991
6579,Destination,37.61899948,-122.375
6579,Origin,42.4818,-114.487999
6627,Destination,39.86169815,-104.6729965
6627,Origin,30.4832,-86.525398
6651,Destination,27.39539909,-82.55439758
6651,Origin,30.4832,-86.525398
6681,Destination,27.91020012,-82.68740082
6681,Origin,41.26070023,-80.67910004
