Route,ORIGIN,ORIGIN_City_State,Origin_City,Origin_State,DEST,Dest_City_State,Dest_City,Dest_State,DISTANCE
1,ABE,"Allentown/Bethlehem/Easton, PA",Allentown/Bethlehem/Easton,PA,ATL,"Atlanta, GA",Atlanta,GA,692
2,ABE,"Allentown/Bethlehem/Easton, PA",Allentown/Bethlehem/Easton,PA,BNA,"Nashville, TN",Nashville,TN,685
3,ABE,"Allentown/Bethlehem/Easton, PA",Allentown/Bethlehem/Easton,PA,CLT,"Charlotte, NC",Charlotte,NC,481
4,ABE,"Allentown/Bethlehem/Easton, PA",Allentown/Bethlehem/Easton,PA,DTW,"Detroit, MI",Detroit,MI,425
5,ABE,"Allentown/Bethlehem/Easton, PA",Allentown/Bethlehem/Easton,PA,FLL,"Fort Lauderdale, FL",Fort Lauderdale,FL,1041
6,ABE,"Allentown/Bethlehem/Easton, PA",Allentown/Bethlehem/Easton,PA,MDT,"Harrisburg, PA",Harrisburg,PA,77
7,ABE,"Allentown/Bethlehem/Easton, PA",Allentown/Bethlehem/Easton,PA,MYR,"Myrtle Beach, SC",Myrtle Beach,SC,518
8,ABE,"Allentown/Bethlehem/Easton, PA",Allentown/Bethlehem/Easton,PA,ORD,"Chicago, IL",Chicago,IL,654
9,ABE,"Allentown/Bethlehem/Easton, PA",Allentown/Bethlehem/Easton,PA,PGD,"Punta Gorda, FL",Punta Gorda,FL,1018
10,ABE,"Allentown/Bethlehem/Easton, PA",Allentown/Bethlehem/Easton,PA,PHL,"Philadelphia, PA",Philadelphia,PA,55
11,ABE,"Allentown/Bethlehem/Easton, PA",Allentown/Bethlehem/Easton,PA,PIE,"St. Petersburg, FL",St. Petersburg,FL,970
12,ABE,"Allentown/Bethlehem/Easton, PA",Allentown/Bethlehem/Easton,PA,SAV,"Savannah, GA",Savannah,GA,669
13,ABE,"Allentown/Bethlehem/Easton, PA",Allentown/Bethlehem/Easton,PA,SFB,"Sanford, FL",Sanford,FL,882
14,ABI,"Abilene, TX",Abilene,TX,DFW,"Dallas/Fort Worth, TX",Dallas/Fort Worth,TX,158
15,ABQ,"Albuquerque, NM",Albuquerque,NM,ATL,"Atlanta, GA",Atlanta,GA,1269
16,ABQ,"Albuquerque, NM",Albuquerque,NM,AUS,"Austin, TX",Austin,TX,619
17,ABQ,"Albuquerque, NM",Albuquerque,NM,BWI,"Baltimore, MD",Baltimore,MD,1670
18,ABQ,"Albuquerque, NM",Albuquerque,NM,DAL,"Dallas, TX",Dallas,TX,580
19,ABQ,"Albuquerque, NM",Albuquerque,NM,DEN,"Denver, CO",Denver,CO,349
20,ABQ,"Albuquerque, NM",Albuquerque,NM,DFW,"Dallas/Fort Worth, TX",Dallas/Fort Worth,TX,569
21,ABQ,"Albuquerque, NM",Albuquerque,NM,HOU,"Houston, TX",Houston,TX,759
22,ABQ,"Albuquerque, NM",Albuquerque,NM,IAH,"Houston, TX",Houston,TX,744
23,ABQ,"Albuquerque, NM",Albuquerque,NM,JFK,"New York, NY",New York,NY,1826
24,ABQ,"Albuquerque, NM",Albuquerque,NM,LAS,"Las Vegas, NV",Las Vegas,NV,486
25,ABQ,"Albuquerque, NM",Albuquerque,NM,LAX,"Los Angeles, CA",Los Angeles,CA,677
26,ABQ,"Albuquerque, NM",Albuquerque,NM,MCI,"Kansas City, MO",Kansas City,MO,718
27,ABQ,"Albuquerque, NM",Albuquerque,NM,MCO,"Orlando, FL",Orlando,FL,1553
28,ABQ,"Albuquerque, NM",Albuquerque,NM,MDW,"Chicago, IL",Chicago,IL,1121
29,ABQ,"Albuquerque, NM",Albuquerque,NM,MSP,"Minneapolis, MN",Minneapolis,MN,981
30,ABQ,"Albuquerque, NM",Albuquerque,NM,OAK,"Oakland, CA",Oakland,CA,889
31,ABQ,"Albuquerque, NM",Albuquerque,NM,ORD,"Chicago, IL",Chicago,IL,1118
32,ABQ,"Albuquerque, NM",Albuquerque,NM,PDX,"Portland, OR",Portland,OR,1111
33,ABQ,"Albuquerque, NM",Albuquerque,NM,PHX,"Phoenix, AZ",Phoenix,AZ,328
34,ABQ,"Albuquerque, NM",Albuquerque,NM,SAN,"San Diego, CA",San Diego,CA,628
35,ABQ,"Albuquerque, NM",Albuquerque,NM,SAT,"San Antonio, TX",San Antonio,TX,609
36,ABQ,"Albuquerque, NM",Albuquerque,NM,SEA,"Seattle, WA",Seattle,WA,1180
37,ABQ,"Albuquerque, NM",Albuquerque,NM,SFO,"San Francisco, CA",San Francisco,CA,896
38,ABQ,"Albuquerque, NM",Albuquerque,NM,SJC,"San Jose, CA",San Jose,CA,870
39,ABQ,"Albuquerque, NM",Albuquerque,NM,SLC,"Salt Lake City, UT",Salt Lake City,UT,493
40,ABQ,"Albuquerque, NM",Albuquerque,NM,SNA,"Santa Ana, CA",Santa Ana,CA,650
41,ABR,"Aberdeen, SD",Aberdeen,SD,MSP,"Minneapolis, MN",Minneapolis,MN,257
42,ABY,"Albany, GA",Albany,GA,ATL,"Atlanta, GA",Atlanta,GA,145
43,ACK,"Nantucket, MA",Nantucket,MA,BOS,"Boston, MA",Boston,MA,91
44,ACK,"Nantucket, MA",Nantucket,MA,CLT,"Charlotte, NC",Charlotte,NC,723
45,ACK,"Nantucket, MA",Nantucket,MA,DCA,"Washington, DC",Washington,DC,405
46,ACK,"Nantucket, MA",Nantucket,MA,HPN,"White Plains, NY",White Plains,NY,191
47,ACK,"Nantucket, MA",Nantucket,MA,JFK,"New York, NY",New York,NY,199
48,ACK,"Nantucket, MA",Nantucket,MA,LGA,"New York, NY",New York,NY,202
49,ACT,"Waco, TX",Waco,TX,DFW,"Dallas/Fort Worth, TX",Dallas/Fort Worth,TX,89
50,ACV,"Arcata/Eureka, CA",Arcata/Eureka,CA,DEN,"Denver, CO",Denver,CO,1026
51,ACV,"Arcata/Eureka, CA",Arcata/Eureka,CA,LAX,"Los Angeles, CA",Los Angeles,CA,577
52,ACV,"Arcata/Eureka, CA",Arcata/Eureka,CA,SFO,"San Francisco, CA",San Francisco,CA,250
53,ACY,"Atlantic City, NJ",Atlantic City,NJ,ATL,"Atlanta, GA",Atlanta,GA,679
54,ACY,"Atlantic City, NJ",Atlantic City,NJ,FLL,"Fort Lauderdale, FL",Fort Lauderdale,FL,977
55,ACY,"Atlantic City, NJ",Atlantic City,NJ,MCO,"Orlando, FL",Orlando,FL,852
56,ACY,"Atlantic City, NJ",Atlantic City,NJ,MSY,"New Orleans, LA",New Orleans,LA,1103
57,ACY,"Atlantic City, NJ",Atlantic City,NJ,MYR,"Myrtle Beach, SC",Myrtle Beach,SC,466
58,ACY,"Atlantic City, NJ",Atlantic City,NJ,PBI,"West Palm Beach/Palm Beach, FL",West Palm Beach/Palm Beach,FL,936
59,ACY,"Atlantic City, NJ",Atlantic City,NJ,RSW,"Fort Myers, FL",Fort Myers,FL,982
60,ACY,"Atlantic City, NJ",Atlantic City,NJ,TPA,"Tampa, FL",Tampa,FL,913
61,ADK,"Adak Island, AK",Adak Island,AK,ANC,"Anchorage, AK",Anchorage,AK,1192
62,ADQ,"Kodiak, AK",Kodiak,AK,ANC,"Anchorage, AK",Anchorage,AK,253
63,AEX,"Alexandria, LA",Alexandria,LA,ATL,"Atlanta, GA",Atlanta,GA,500
64,AEX,"Alexandria, LA",Alexandria,LA,DFW,"Dallas/Fort Worth, TX",Dallas/Fort Worth,TX,285
65,AEX,"Alexandria, LA",Alexandria,LA,IAH,"Houston, TX",Houston,TX,190
66,AGS,"Augusta, GA",Augusta,GA,ATL,"Atlanta, GA",Atlanta,GA,143
67,AGS,"Augusta, GA",Augusta,GA,CLT,"Charlotte, NC",Charlotte,NC,140
68,AGS,"Augusta, GA",Augusta,GA,DCA,"Washington, DC",Washington,DC,468
69,AGS,"Augusta, GA",Augusta,GA,DFW,"Dallas/Fort Worth, TX",Dallas/Fort Worth,TX,874
70,AGS,"Augusta, GA",Augusta,GA,LGA,"New York, NY",New York,NY,678
71,AGS,"Augusta, GA",Augusta,GA,MIA,"Miami, FL",Miami,FL,531
