"Route","avg_delay","range"
1665,0.25,"(0,15]"
196,0.363636363636364,"(0,15]"
1882,0.411764705882353,"(0,15]"
6547,0.523809523809524,"(0,15]"
2351,0.545454545454545,"(0,15]"
2547,0.588235294117647,"(0,15]"
2020,0.75,"(0,15]"
6275,0.75,"(0,15]"
1039,0.833333333333333,"(0,15]"
5122,0.909677419354839,"(0,15]"
4199,1,"(0,15]"
5488,1.07692307692308,"(0,15]"
3997,1.15068493150685,"(0,15]"
2925,1.2,"(0,15]"
133,1.25333333333333,"(0,15]"
2982,1.26315789473684,"(0,15]"
651,1.36666666666667,"(0,15]"
6223,1.43157894736842,"(0,15]"
3313,1.52941176470588,"(0,15]"
4764,1.7,"(0,15]"
5017,1.75,"(0,15]"
1484,1.82352941176471,"(0,15]"
4909,1.85,"(0,15]"
3175,1.85350318471338,"(0,15]"
1460,1.88235294117647,"(0,15]"
4277,1.92592592592593,"(0,15]"
754,2,"(0,15]"
1315,2,"(0,15]"
4056,2,"(0,15]"
4883,2,"(0,15]"
3342,2.07407407407407,"(0,15]"
4319,2.11764705882353,"(0,15]"
2620,2.1195652173913,"(0,15]"
4283,2.125,"(0,15]"
6661,2.14285714285714,"(0,15]"
6026,2.18181818181818,"(0,15]"
5831,2.38461538461538,"(0,15]"
2719,2.4,"(0,15]"
2856,2.47058823529412,"(0,15]"
2852,2.5,"(0,15]"
4074,2.5,"(0,15]"
569,2.50936329588015,"(0,15]"
3453,2.51351351351351,"(0,15]"
570,2.51851851851852,"(0,15]"
2569,2.59994275355405,"(0,15]"
3511,2.625,"(0,15]"
6118,2.67984934086629,"(0,15]"
6638,2.69230769230769,"(0,15]"
658,2.71428571428571,"(0,15]"
6090,2.71428571428571,"(0,15]"
4092,2.74904942965779,"(0,15]"
6572,2.75,"(0,15]"
4473,2.79012345679012,"(0,15]"
4393,2.80952380952381,"(0,15]"
6605,2.84615384615385,"(0,15]"
6115,2.85714285714286,"(0,15]"
4500,2.85820895522388,"(0,15]"
6277,2.86567164179104,"(0,15]"
4826,2.89542483660131,"(0,15]"
2573,2.9011043677246,"(0,15]"
3153,2.91020158827123,"(0,15]"
2576,2.91191184852131,"(0,15]"
3269,2.97435897435897,"(0,15]"
5117,2.98630136986301,"(0,15]"
1054,2.9875,"(0,15]"
1003,3,"(0,15]"
4402,3.01006404391583,"(0,15]"
6198,3.05164319248826,"(0,15]"
5563,3.05643738977072,"(0,15]"
5760,3.06896551724138,"(0,15]"
